should_axis,actual_axis
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.79041954190797,-13.78989315032959
-13.790419541907962,-13.78989315032959
-13.789595396575814,-13.78989315032959
-13.78443463172755,-13.78989315032959
-13.772469746716746,-13.78989315032959
-13.752478848662486,-13.78989315032959
-13.724582584152838,-13.78989315032959
-13.68970162861224,-13.78989315032959
-13.649332460932843,-13.78989315032959
-13.60511339904956,-13.78989315032959
-13.558573591263347,-13.78902530670166
-13.510695110179622,-13.786089897155762
-13.461651543356075,-13.770821571350098
-13.410912877511246,-13.759234428405762
-13.354533902865732,-13.733990669250488
-13.287427564947656,-13.69738483428955
-13.208557298602585,-13.664202690124512
-13.125142595926599,-13.617541313171387
-13.04297638031106,-13.567599296569824
-12.960583219980766,-13.516682624816895
-12.873328943488263,-13.468735694885254
-12.782867213364039,-13.418744087219238
-12.692057002509266,-13.358511924743652
-12.603059740182303,-13.28378963470459
-12.514469967974406,-13.218924522399902
-12.42550955416257,-13.118083000183105
-12.337327978966131,-13.049120903015137
-12.248672697254307,-12.962132453918457
-12.159792280051851,-12.892176628112793
-12.070499697843356,-12.796160697937012
-11.983026467732563,-12.725638389587402
-11.894445184444788,-12.632708549499512
-11.805837328249897,-12.550896644592285
-11.717251986412343,-12.4401273727417
-11.628548908388632,-12.352766990661621
-11.540106396338913,-12.278428077697754
-11.451554455019066,-12.188265800476074
-11.362985166855779,-12.085597038269043
-11.274389767961123,-12.011120796203613
-11.185814112770068,-11.897854804992676
-11.096862740282825,-11.834471702575684
-11.008304616367022,-11.742545127868652
-10.920104034179696,-11.637295722961426
-10.831653864484723,-11.564667701721191
-10.742900594189415,-11.463240623474121
-10.653873100852818,-11.36893367767334
-10.565741811845015,-11.294835090637207
-10.477214689594748,-11.202166557312012
-10.388267745863539,-11.115492820739746
-10.29969402883486,-11.03528881072998
-10.211450817935773,-10.928549766540527
-10.12261505744533,-10.843491554260254
-10.03433955311324,-10.773953437805176
-9.945443819141836,-10.674540519714355
-9.85711359762151,-10.59397029876709
-9.768617110577857,-10.509984016418457
-9.679679024511035,-10.408598899841309
-9.590909143759678,-10.31944751739502
-9.502552443104376,-10.214421272277832
-9.414009359571185,-10.154194831848145
-9.325430106984262,-10.052573204040527
-9.23714039390213,-9.959681510925293
-9.14794257140715,-9.874541282653809
-9.059946639990947,-9.777787208557129
-8.971193645555052,-9.693877220153809
-8.882760453516799,-9.612763404846191
-8.794229917538976,-9.528107643127441
-8.705684989729948,-9.431746482849121
-8.617074088241388,-9.336310386657715
-8.528467339122598,-9.257805824279785
-8.43955813258818,-9.152579307556152
-8.350982477496709,-9.083062171936035
-8.262773591826011,-8.983075141906738
-8.173744066358724,-8.893895149230957
-8.08563123128722,-8.802813529968262
-7.996626897013586,-8.71044635772705
-7.908178388454329,-8.620022773742676
-7.819922259742418,-8.541577339172363
-7.730896981261599,-8.457001686096191
-7.642579125545362,-8.367571830749512
-7.5542035104294945,-8.284235954284668
-7.465596391183695,-8.198142051696777
-7.377042881971496,-8.093029975891113
-7.288456154695774,-8.020804405212402
-7.1996019401614575,-7.91800594329834
-7.111008940045498,-7.837584495544434
-7.0227147957325355,-7.746495246887207
-6.934171435591963,-7.649868965148926
-6.844997694894395,-7.559203147888184
-6.757017634600423,-7.477423667907715
-6.668021142981299,-7.400750160217285
