should_axis6,actual_axis6
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19305779463579,-37.1900634765625
-37.19288430966502,-37.1900634765625
-37.19178217472963,-37.1900634765625
-37.1890689533427,-37.1900634765625
-37.18454413268266,-37.1900634765625
-37.17795522519506,-37.1900634765625
-37.16942676933956,-37.1900634765625
-37.159158454801315,-37.1900634765625
-37.14744989523474,-37.1900634765625
-37.134654089568045,-37.1900634765625
-37.1211075340986,-37.18983840942383
-37.1070471185978,-37.18983840942383
-37.092633411772745,-37.18971633911133
-37.077882632340454,-37.18947219848633
-37.06255907354597,-37.18886184692383
-37.04611886749304,-37.17527389526367
-37.02694836528805,-37.15742111206055
-37.004249360341575,-37.14946365356445
-36.9791772603805,-37.142173767089844
-36.95349128648541,-37.136993408203125
-36.928462066987464,-37.12215042114258
-36.90376219867077,-37.10502243041992
-36.87816139988386,-37.07854080200195
-36.85162858215794,-37.06850051879883
-36.82474589459343,-37.055110931396484
-36.7980666120797,-37.02667999267578
-36.77179828119154,-36.99924087524414
-36.74546931514596,-36.983036041259766
-36.71930155322649,-36.95801544189453
-36.693077814987,-36.926292419433594
-36.66682885015095,-36.904273986816406
-36.64059929010959,-36.8758430480957
-36.61436090244644,-36.85237121582031
-36.58812021843013,-36.82698059082031
-36.56181054913586,-36.79581069946289
-36.535644372533866,-36.77931594848633
-36.50937611043609,-36.74855041503906
-36.483163605831884,-36.72119140625
-36.456936342190126,-36.699405670166016
-36.43069046562125,-36.66722106933594
-36.40445494741548,-36.641197204589844
-36.37822158860002,-36.61880874633789
-36.35190030302119,-36.59184265136719
-36.32573254100519,-36.5670166015625
-36.29948002229609,-36.54288864135742
-36.273245296842994,-36.50606155395508
-36.24702224225923,-36.48786926269531
-36.2207787706423,-36.460208892822266
-36.19454768038922,-36.433441162109375
-36.16831344680955,-36.410789489746094
-36.14206002619694,-36.37752151489258
-36.115834976549074,-36.354984283447266
-36.08958141945579,-36.32937240600586
-36.0633254295468,-36.30171203613281
-36.03711743534097,-36.27876281738281
-36.01086538122108,-36.24833297729492
-35.98463912881412,-36.21889877319336
-35.95839461870211,-36.20037078857422
-35.932074781486406,-36.1683349609375
-35.905809362065504,-36.14363479614258
-35.87959068100081,-36.120574951171875
-35.853453503530716,-36.08539962768555
-35.8271954638925,-36.06672286987305
-35.800909135640694,-36.04109573364258
-35.77457246175113,-36.008548736572266
-35.74848945629782,-35.9886360168457
-35.722160763513365,-35.95547866821289
-35.69602246503291,-35.926727294921875
-35.66977967666215,-35.907936096191406
-35.64354186309942,-35.8789176940918
-35.61730262796937,-35.85202407836914
-35.591041417721435,-35.825599670410156
-35.564829623677696,-35.7928581237793
-35.53849595676497,-35.77859115600586
-35.512339291529194,-35.748023986816406
-35.48609847107364,-35.71916961669922
-35.45986524925264,-35.69894027709961
-35.433639105997145,-35.66469955444336
-35.40738945737048,-35.640995025634766
-35.38116643014644,-35.6199836730957
-35.35483052145224,-35.587196350097656
-35.32868314934622,-35.56484603881836
-35.30242879936626,-35.53583526611328
-35.2761981740599,-35.50587844848633
-35.24994847084336,-35.4870719909668
-35.22362819591008,-35.45846176147461
-35.197485770609845,-35.42946243286133
-35.17114516090072,-35.40610122680664
-35.14501457071695,-35.37566375732422
-35.118777549531174,-35.35231018066406
-35.09253782214476,-35.32274627685547
-35.066290278385125,-35.30077362060547
-35.04005844981898,-35.279293060302734
-35.01382684058853,-35.2450065612793
-34.98757861302484,-35.21937942504883
-34.96133109652203,-35.1978645324707
-34.93510779592417,-35.16550827026367
-34.90886571814206,-35.1440544128418
-34.88263211323032,-35.12095260620117
-34.856391757695384,-35.0857048034668
-34.830064622535346,-35.067203521728516
-34.803900741673786,-35.04128646850586
-34.777667082543125,-35.009132385253906
-34.751442305625694,-34.98379898071289
-34.725109266803834,-34.9596061706543
-34.698947545433235,-34.92738342285156
-34.672714651564114,-34.90903091430664
-34.64647959777866,-34.88087463378906
-34.62024446265608,-34.85232925415039
-34.59399347483808,-34.827728271484375
-34.56777129458611,-34.79615020751953
-34.541455639245335,-34.77897262573242
-34.51527115039069,-34.75199508666992
-34.488944616671795,-34.720947265625
-34.462817606543595,-34.70050048828125
-34.43657473632202,-34.662940979003906
-34.410336184407086,-34.641021728515625
-34.38392751840479,-34.619895935058594
-34.3577785336923,-34.591732025146484
-34.331630696633354,-34.56763458251953
-34.30538766216485,-34.5413818359375
-34.27911732354336,-34.507530212402344
-34.25290019986265,-34.48982620239258
-34.22666968355909,-34.46291732788086
-34.20043659801215,-34.42879867553711
-34.174199795087546,-34.411293029785156
-34.14794875266928,-34.38334274291992
-34.121724194717494,-34.355186462402344
-34.095474627987045,-34.329776763916016
-34.06924654467802,-34.30230712890625
-34.042987712124145,-34.28071594238281
-34.01675990217608,-34.24894714355469
-33.990446706416385,-34.217185974121094
-33.9642536077162,-34.20003890991211
-33.93802798399031,-34.17097473144531
-33.91181922414709,-34.14267349243164
-33.885561348224606,-34.1224250793457
-33.85926252948976,-34.083133697509766
-33.833099085869215,-34.065162658691406
-33.806849355415736,-34.04103088378906
-33.78052741391852,-34.00477600097656
-33.75439450014644,-33.988521575927734
-33.72814359415689,-33.95994567871094
-33.701891567199944,-33.929893493652344
-33.67566752861537,-33.90627670288086
-33.649435837373275,-33.88385772705078
-33.623180995596854,-33.854671478271484
-33.59687722935371,-33.82767105102539
-33.57069752320326,-33.7949333190918
-33.54433846497165,-33.77899169921875
-33.51823597142874,-33.74973678588867
-33.49200466288285,-33.72116470336914
-33.46574621338736,-33.7011833190918
-33.43952449808984,-33.6707649230957
-33.41328750423795,-33.64052963256836
-33.38700828242597,-33.62088394165039
-33.36081176696174,-33.59059143066406
-33.33455722593099,-33.56876754760742
-33.30832501529569,-33.54494094848633
-33.282095373418336,-33.513648986816406
-33.2558060115419,-33.488548278808594
-33.22961889832677,-33.464229583740234
-33.203379526729215,-33.433101654052734
-33.17714182229292,-33.408973693847656
-33.15089982624947,-33.37924575805664
-33.124666576961424,-33.354305267333984
-33.09842302284566,-33.33099365234375
-33.07217769298871,-33.300758361816406
-33.04593867612192,-33.28160858154297
-33.01970939002316,-33.252140045166016
-32.99338162677253,-33.220977783203125
-32.96722712046337,-33.20204162597656
-32.940996139896576,-33.17048645019531
-32.91474359402539,-33.14529800415039
-32.8885069281274,-33.12385940551758
-32.862281003702144,-33.09162521362305
-32.83602342903725,-33.0690803527832
-32.80972425453282,-33.04309844970703
-32.783507158222605,-33.013526916503906
-32.75732515620608,-32.98942947387695
-32.731006385345864,-32.95646286010742
-32.70480202568765,-32.926910400390625
-32.67853849228709,-32.90922546386719
-32.652300350742365,-32.88819122314453
-32.62597466721659,-32.85476303100586
-32.599270693827535,-32.82627868652344
-32.57244103620892,-32.800697326660156
-32.5459429931367,-32.7808952331543
-32.52053837838861,-32.75442886352539
-32.495799915974104,-32.72259521484375
-32.47072233071697,-32.70227813720703
-32.445006387374605,-32.671051025390625
-32.42018349421847,-32.64176940917969
-32.39798024607491,-32.622745513916016
-32.379211827397,-32.59224319458008
-32.362999669066134,-32.567665100097656
-32.347895862963725,-32.54383850097656
-32.33357018228682,-32.514869689941406
-32.319852935273666,-32.49287033081055
-32.30669096945731,-32.4706916809082
-32.294152656265275,-32.44057846069336
-32.28233909976049,-32.42461395263672
-32.27142022276625,-32.40171432495117
-32.26158593241526,-32.3848762512207
-32.2530933873456,-32.36016082763672
-32.246052017315584,-32.35430145263672
-32.24063276043072,-32.33594512939453
-32.23689588935715,-32.31889724731445
-32.23482436867935,-32.29984664916992
-32.23427778974463,-32.28993606567383
-32.23427778974463,-32.28556823730469
-32.23427778974463,-32.283451080322266
-32.23427778974463,-32.28089904785156
-32.23427778974463,-32.26901626586914
-32.23427778974463,-32.258541107177734
-32.23427778974463,-32.2509651184082
-32.23427778974463,-32.24831771850586
-32.23427778974463,-32.24685287475586
-32.23427778974463,-32.237361907958984
-32.23427778974463,-32.23535919189453
-32.23427778974463,-32.23501205444336
-32.23427778974463,-32.23476791381836
-32.23427778974463,-32.23452377319336
-32.23427778974463,-32.234352111816406
-32.23427778974463,-32.234153747558594
-32.23427778974463,-32.23415756225586
-32.23427778974463,-32.23403549194336
-32.23427778974463,-32.23391342163086
-32.23427778974463,-32.233673095703125
-32.23427778974463,-32.23366928100586
-32.23427778974463,-32.23354721069336
-32.23427778974463,-32.23329544067383
-32.23427778974463,-32.23318099975586
-32.23427778974463,-32.23305892944336
-32.23427778974463,-32.23293685913086
-32.23427778974463,-32.23269271850586
-32.23427778974463,-32.23257064819336
-32.23427778974463,-32.23244857788086
-32.23427778974463,-32.23220443725586
-32.23427778974463,-32.23196029663086
-32.23427778974463,-32.231597900390625
-32.23427778974463,-32.23122787475586
-32.23427778974463,-32.23086166381836
-32.23427778974463,-32.229156494140625
-32.23427778974463,-32.226810455322266
-32.23427778974463,-32.22670364379883
-32.23427778974463,-32.22658157348633
-32.23427778974463,-32.22645950317383
-32.23427778974463,-32.22642135620117
-32.23427778974463,-32.22633743286133
-32.23427778974463,-32.22633743286133
-32.23427778974463,-32.22633743286133
-32.23427778974463,-32.22621536254883
-32.234452273327115,-32.22621536254883
-32.23555778512207,-32.22621536254883
-32.23822609884903,-32.22621536254883
-32.24289051723232,-32.22621536254883
-32.24940118201305,-32.2260856628418
-32.25793364239329,-32.22609329223633
-32.26837330955354,-32.22609329223633
-32.279914107233935,-32.22609329223633
-32.29277246849258,-32.22609329223633
-32.30625769258356,-32.22609329223633
-32.320336631150234,-32.22609329223633
-32.33481179622324,-32.226318359375
-32.349491410031504,-32.22653579711914
-32.364828037499954,-32.226806640625
-32.38128013271591,-32.22752380371094
-32.40045688338549,-32.23850631713867
-32.42314124528957,-32.25202941894531
-32.44822503582671,-32.2652702331543
-32.47392506748012,-32.28438186645508
-32.498958533515875,-32.29558181762695
-32.5236598438108,-32.299285888671875
-32.549454075717094,-32.31297302246094
-32.575795121297304,-32.338356018066406
-32.60275409465794,-32.361759185791016
-32.62942883776426,-32.37913513183594
-32.65564065411762,-32.40522003173828
-32.68190225970591,-32.43686294555664
-32.70812466759348,-32.44772720336914
-32.73436990039811,-32.475833892822266
-32.76063464965605,-32.50453567504883
-32.7868567295276,-32.52488708496094
-32.81337760529583,-32.554901123046875
-32.83933369100519,-32.583885192871094
-32.86556416274225,-32.60453796386719
-32.89183342229803,-32.63399124145508
-32.918046263251085,-32.66083908081055
-32.944489836269625,-32.68260192871094
-32.970657328534465,-32.71586227416992
-32.996763509239024,-32.73924255371094
-33.02304222640443,-32.76753234863281
-33.04928622843832,-32.7928352355957
-33.07549767546762,-32.8145866394043
-33.1017339968374,-32.84487533569336
-33.12797972087249,-32.87324142456055
-33.15436233772411,-32.9046516418457
-33.180601064865954,-32.928524017333984
-33.20669724058719,-32.951438903808594
-33.23296641826832,-32.979305267333984
-33.2591932545811,-33.00773239135742
-33.28540932107805,-33.0269660949707
-33.31166351884399,-33.05865478515625
-33.33802208112321,-33.08610534667969
-33.36425003792145,-33.10544967651367
-33.390416765104746,-33.14481735229492
-33.41668829345567,-33.163658142089844
-33.442907749234344,-33.19206619262695
-33.469151041252964,-33.22151184082031
-33.495346551622255,-33.240657806396484
-33.521630544429115,-33.26538848876953
-33.54784308466504,-33.29953384399414
-33.574183934297146,-33.32673645019531
-33.60031015120158,-33.35009002685547
-33.62655655907131,-33.37487030029297
-33.65280602821416,-33.40310287475586
-33.679225000348104,-33.42758560180664
-33.70526440217218,-33.454586029052734
-33.73151031776399,-33.48192596435547
-33.75775688937732,-33.51116943359375
-33.78413469573162,-33.53158950805664
-33.81025006042519,-33.560157775878906
-33.836627319921746,-33.586891174316406
-33.862755668643786,-33.614383697509766
-33.88900379897082,-33.6446418762207
-33.91519050759628,-33.6661491394043
-33.94145490155198,-33.691307067871094
-33.96770461683824,-33.72365951538086
-33.99405839539322,-33.745086669921875
-34.02019581981301,-33.7801513671875
-34.046410874453166,-33.79981994628906
-34.07268289508216,-33.82442092895508
-34.09892678802298,-33.850975036621094
-34.12516149662558,-33.87793731689453
-34.15138188185699,-33.90846252441406
-34.177626649666294,-33.93389129638672
-34.20399849617334,-33.95772933959961
-34.23012558795477,-33.98291778564453
-34.256337991212725,-34.01406478881836
-34.282562695707675,-34.03883743286133
-34.30881211026718,-34.06451416015625
-34.3350534336889,-34.088722229003906
-34.36136918961076,-34.11287307739258
-34.387551934805636,-34.14407730102539
-34.413789021363094,-34.16881561279297
-34.440014053343134,-34.193824768066406
-34.466271313427065,-34.22446060180664
-34.49259939735363,-34.24820327758789
-34.518740948956705,-34.2718391418457
-34.54499383519997,-34.30170822143555
-34.57162385868796,-34.325313568115234
-34.59746423643316,-34.35538101196289
-34.623823208598765,-34.3808708190918
-34.64995948471828,-34.40642166137695
-34.67620239362235,-34.4351692199707
-34.7024415306472,-34.45588302612305
-34.72867738702494,-34.48676681518555
-34.75503225930141,-34.51234817504883
-34.781169191444576,-34.53634262084961
-34.80738810036264,-34.56427001953125
-34.83371454422763,-34.591819763183594
