should_axis6,actual_axis6
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172701042,-37.1994514465332
-37.19636172698754,-37.1994514465332
-37.19618511328322,-37.1994514465332
-37.19507278287691,-37.1994514465332
-37.19239582302596,-37.1994514465332
-37.18779885434806,-37.1994514465332
-37.18119040092851,-37.1994514465332
-37.17262578250508,-37.1994514465332
-37.162353391173156,-37.1994514465332
-37.15062765595289,-37.1994514465332
-37.13774606685059,-37.1994514465332
-37.124196010259,-37.1994514465332
-37.11006706854607,-37.19922637939453
-37.09559478891941,-37.19910430908203
-37.0807297500277,-37.19873809814453
-37.06521982460746,-37.198272705078125
-37.0486727343992,-37.194496154785156
-37.029418705611064,-37.16696548461914
-37.006491453673256,-37.14915466308594
-36.981742824299474,-37.14362335205078
-36.9558207133117,-37.13848876953125
-36.929784585325876,-37.12791061401367
-36.90325324542395,-37.1115608215332
-36.87504484571503,-37.08694076538086
-36.84556041042033,-37.068626403808594
-36.81483908270368,-37.05546188354492
-36.7831241490648,-37.029685974121094
-36.750587120116364,-37.001731872558594
-36.71656077146598,-36.984405517578125
-36.68134287876334,-36.957176208496094
-36.64496515764754,-36.924522399902344
-36.60751922066694,-36.900474548339844
-36.56875685170428,-36.8670654296875
-36.52894993764941,-36.84318542480469
-36.48831080821996,-36.811729431152344
-36.446211996823656,-36.77989959716797
-36.40338385912495,-36.73891830444336
-36.35912469301817,-36.70779037475586
-36.31396728979662,-36.67317581176758
-36.26726925406007,-36.63875198364258
-36.21981447497592,-36.606117248535156
-36.17189377353037,-36.560882568359375
-36.12257508387701,-36.51689147949219
-36.071714543292,-36.480255126953125
-36.01924315514607,-36.431522369384766
-35.96625942317156,-36.393253326416016
-35.91352597649565,-36.34834671020508
-35.861200529122996,-36.293121337890625
-35.80857300563929,-36.26002883911133
-35.75614965651644,-36.2041015625
-35.70336047770157,-36.15068817138672
-35.65106387067816,-36.10984802246094
-35.598063456857695,-36.051143646240234
-35.54579930020613,-35.99977493286133
-35.493246639083694,-35.95249557495117
-35.44094340950089,-35.90060043334961
-35.388200308568436,-35.842166900634766
