should_axis5,actual_axis5
-6.12908102270397,-6.127862930297852
-6.12908102270397,-6.119478225708008
-6.12908102270397,-6.119478225708008
-6.12908102270397,-6.119478225708008
-6.12908102270397,-6.119478225708008
-6.12908102270397,-6.119478225708008
-6.12908102270397,-6.119478225708008
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119600296020508
-6.12908102270397,-6.119722366333008
-6.12908102270397,-6.119722366333008
-6.12908102270397,-6.119722366333008
-6.12908102270397,-6.119722366333008
-6.12908102270397,-6.119722366333008
-6.12908102270397,-6.119722366333008
-6.12908102270397,-6.119722366333008
-6.12908102270397,-6.119722366333008
-6.129020799419403,-6.119722366333008
-6.128638353182517,-6.119722366333008
-6.127712461670012,-6.119844436645508
-6.126131768112291,-6.119844436645508
-6.123868855184445,-6.119844436645508
-6.120923348207972,-6.119844436645508
-6.1173811210197355,-6.119844436645508
-6.113348102930807,-6.119966506958008
-6.108941755967437,-6.119966506958008
-6.104266731843272,-6.119966506958008
-6.099415506125295,-6.119783401489258
-6.0944566178276185,-6.119659423828125
-6.089362802605567,-6.119659423828125
-6.084080938459913,-6.11932373046875
-6.078414296649009,-6.118951797485352
-6.071797637287259,-6.117563247680664
-6.06397354082366,-6.117214202880859
-6.055320767891621,-6.1161041259765625
-6.0464645247996405,-6.115243911743164
-6.037854275571234,-6.114032745361328
-6.029334830167451,-6.11317253112793
-6.020458092270266,-6.111106872558594
-6.011339990203323,-6.107471466064453
-6.002087704955817,-6.1020965576171875
-5.992902507724781,-6.090436935424805
-5.983839376410497,-6.087686538696289
-5.974793285198431,-6.081201553344727
-5.965765442987039,-6.072109222412109
-5.956714311387139,-6.064632415771484
-5.947668163552947,-6.056964874267578
-5.938612557035816,-6.039653778076172
-5.92957794084776,-6.032182693481445
-5.920532405491419,-6.03028678894043
-5.911484015574844,-6.021852493286133
-5.902438348352019,-6.001527786254883
-5.893401527529118,-5.988264083862305
-5.884357933084253,-5.975467681884766
-5.87530310834851,-5.970541000366211
-5.866223317230359,-5.961940765380859
-5.857204745587466,-5.95252799987793
-5.8481734645658765,-5.950338363647461
-5.839137162163811,-5.947822570800781
-5.83009520689966,-5.944053649902344
-5.8210465906964055,-5.9290618896484375
-5.81200014150243,-5.924713134765625
-5.802956603488005,-5.92181396484375
-5.7939147046656805,-5.91558837890625
-5.784874511247719,-5.893970489501953
-5.775821891194149,-5.884885787963867
-5.766780482439934,-5.864545822143555
-5.757740128774471,-5.854253768920898
-5.748698060468882,-5.839542388916016
-5.739651338148572,-5.830596923828125
-5.730609476941066,-5.820329666137695
-5.7215602674317525,-5.817777633666992
-5.7125097763510455,-5.816371917724609
-5.70347436896841,-5.8099517822265625
-5.6944271190059705,-5.802818298339844
-5.685387584893895,-5.791103363037109
-5.6763411545116735,-5.7843780517578125
-5.667292717385797,-5.78156852722168
-5.658253852372587,-5.779001235961914
-5.649212886377298,-5.7707672119140625
-5.6401671719480975,-5.750814437866211
-5.631080032352248,-5.731342315673828
-5.622059237262152,-5.716974258422852
-5.612991298138661,-5.700450897216797
-5.603942333381179,-5.6955718994140625
-5.594944818298553,-5.687639236450195
-5.585892876566072,-5.676862716674805
-5.576853983207357,-5.675315856933594
-5.567810774985835,-5.673398971557617
-5.558716380990949,-5.668622970581055
-5.549720052863199,-5.6570281982421875
-5.5406455472268705,-5.646482467651367
-5.531631799259089,-5.640506744384766
-5.522586537039182,-5.63775634765625
-5.513504183324899,-5.616399765014648
-5.5045014865773005,-5.613037109375
-5.495456205547998,-5.6042022705078125
-5.486409718729482,-5.586391448974609
-5.4773633825901396,-5.564619064331055
-5.468319948225146,-5.552814483642578
-5.459266828705578,-5.538236618041992
-5.450224260962696,-5.534942626953125
-5.441048090366358,-5.533468246459961
-5.432146766433356,-5.532726287841797
-5.423099478659928,-5.53016471862793
