should_axis3,actual_axis3
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.6004743576049805
4.59532881862398,4.600464820861816
4.59499195596531,4.600464820861816
4.592863644839582,4.600464820861816
4.587717732841791,4.600464820861816
4.578899493666505,4.600464820861816
4.566126875365011,4.600464820861816
4.549706674096202,4.600491523742676
4.529889942699297,4.5998640060424805
4.507312841868654,4.5990095138549805
4.482595810891196,4.597258567810059
4.456391271024631,4.594851493835449
4.429107551787608,4.5901899337768555
4.401181231033423,4.584650993347168
4.372424744225606,4.5741167068481445
4.342805036901539,4.55764102935791
4.310681090709206,4.542309761047363
4.273763104781376,4.519928932189941
4.230331044563782,4.5000715255737305
4.182248774453106,4.47060489654541
4.132197949558516,4.445376396179199
4.081975739831541,4.420401573181152
4.030663307154015,4.392247200012207
3.9764634357961404,4.3635663986206055
3.9194515359508277,4.325316429138184
3.860294589947209,4.287562370300293
3.7994538160037834,4.2474164962768555
3.7364890303244684,4.200619697570801
3.6709169872082494,4.1604413986206055
3.603015315379449,4.118084907531738
3.5332631106692505,4.055788993835449
3.4611412050335146,4.0046281814575195
3.386391928133484,3.9513235092163086
3.3090982771268185,3.9010629653930664
3.231035416815919,3.838961601257324
3.1503085652494294,3.775153160095215
3.067385668833936,3.709282875061035
2.982417044097343,3.6323423385620117
2.8950638318897615,3.5705347061157227
2.805480703984577,3.5007944107055664
2.714168590832347,3.424553871154785
2.621032293222044,3.3635263442993164
2.52594468681362,3.286179542541504
2.4286091025688576,3.1960363388061523
2.327226359831732,3.1168413162231445
2.224990495775634,3.035916328430176
2.1237860352053164,2.960942268371582
2.022502203484879,2.8657522201538086
1.9211642610876334,2.7740468978881836
1.8199782059263843,2.6807870864868164
1.7187395160004242,2.58101749420166
1.6174419725944098,2.49448299407959
1.516238934726531,2.386654853820801
1.414990121409909,2.286105155944824
1.3136440567352665,2.1894521713256836
1.21242836319446,2.095768928527832
1.1111610913826508,2.00376033782959
1.0099576323701616,1.8925886154174805
0.9081330232598182,1.777256965637207
0.807368661130742,1.6928644180297852
0.7061962105129785,1.5772790908813477
0.6048948699235243,1.4833383560180664
0.5036908830781354,1.3924493789672852
0.40241897039942853,1.297379493713379
0.3002803601693605,1.1754159927368164
0.19946114967994086,1.0815610885620117
0.098628650485891,0.9815702438354492
-0.0025749156689975077,0.8727083206176758
-0.1038811086625775,0.771855354309082
-0.20520417864266655,0.6905717849731445
-0.3068521121758966,0.5862417221069336
-0.4076171072979722,0.48758792877197266
-0.5088913415931418,0.3580179214477539
-0.6101810805286477,0.2694215774536133
-0.7114385430931168,0.1735372543334961
-0.8127627734881158,0.060433387756347656
-0.9139094869794487,-0.02708149142563343
-1.0156044644506714,-0.15164662897586823
-1.116640322321335,-0.23284246027469635
-1.2177162611385028,-0.3364591896533966
-1.3189442966432516,-0.43978026509284973
-1.4201388958973438,-0.5312777161598206
-1.5215272554969492,-0.6379442811012268
-1.6226589910601525,-0.7276201844215393
-1.7239309049829878,-0.8367014527320862
-1.8253399368163923,-0.9380026459693909
-1.9264514214165547,-1.050294041633606
-2.027763837438497,-1.1303130388259888
-2.1303706551638832,-1.2352038621902466
-2.2303472158266566,-1.352225422859192
-2.3315582704708606,-1.4577304124832153
-2.4328177379223423,-1.5473586320877075
-2.5340198259962117,-1.6513797044754028
-2.635376873299169,-1.7604705095291138
-2.7377854230375402,-1.8400107622146606
-2.838015090563245,-1.9582339525222778
-2.936157183368897,-2.038571357727051
-3.032517635071456,-2.1609811782836914
-3.1268344934740724,-2.2615671157836914
-3.219196742207098,-2.35422420501709
-3.309663886710633,-2.4584875106811523
-3.3980894718187304,-2.5603017807006836
-3.4856348784398494,-2.666783332824707
-3.570642954479739,-2.7481489181518555
-3.651675161255194,-2.8584108352661133
-3.7304930236651797,-2.939469337463379
-3.8072321702716585,-3.0534563064575195
-3.8815536899664265,-3.1380395889282227
-3.9535408036195063,-3.2356462478637695
-4.023682008813419,-3.322333335876465
-4.091663417986604,-3.4074316024780273
-4.156663433676716,-3.5101613998413086
-4.218880882381017,-3.5860071182250977
-4.279009690159369,-3.6533002853393555
-4.3371923932663625,-3.7318010330200195
-4.392239405954924,-3.8144102096557617
-4.444490875846891,-3.8766889572143555
-4.4950572191269265,-3.9567689895629883
-4.545155873556934,-4.015303611755371
-4.594079752875581,-4.087264060974121
-4.639192008743252,-4.143424034118652
-4.678217742849164,-4.204615592956543
-4.711451618540949,-4.274197578430176
-4.741650736588827,-4.334811210632324
-4.770108995967421,-4.392657279968262
-4.7971818506732395,-4.436810493469238
-4.82312510073356,-4.491185188293457
-4.84789520350045,-4.536871910095215
-4.871363640329714,-4.582701683044434
-4.89322565364476,-4.616913795471191
-4.913093462341985,-4.656489372253418
-4.930621009273654,-4.695408821105957
-4.945448424980018,-4.721518516540527
-4.9572735978215,-4.755852699279785
-4.965873464439886,-4.778515815734863
-4.971228142795771,-4.805066108703613
-4.973486456175671,-4.832024574279785
-4.9736120823300904,-4.854779243469238
-4.9736120823300904,-4.8714704513549805
-4.9736120823300904,-4.890933036804199
-4.9736120823300904,-4.907160758972168
-4.9736120823300904,-4.917998313903809
-4.9736120823300904,-4.925166130065918
-4.9736120823300904,-4.931645393371582
-4.9736120823300904,-4.93923282623291
-4.9736120823300904,-4.942763328552246
-4.9736120823300904,-4.944293022155762
-4.9736120823300904,-4.946852684020996
-4.9736120823300904,-4.949002265930176
-4.9736120823300904,-4.949917793273926
-4.9736120823300904,-4.9500627517700195
-4.9736120823300904,-4.949847221374512
-4.9736120823300904,-4.950064659118652
-4.9736120823300904,-4.950430870056152
-4.9736120823300904,-4.950568199157715
-4.9736120823300904,-4.9509172439575195
-4.9736120823300904,-4.9509172439575195
-4.9736120823300904,-4.9509172439575195
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950823783874512
-4.9736120823300904,-4.950818061828613
-4.9736120823300904,-4.950818061828613
-4.9736120823300904,-4.950818061828613
-4.9736120823300904,-4.950818061828613
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950810432434082
-4.9736120823300904,-4.950833320617676
-4.9736120823300904,-4.950833320617676
-4.9736120823300904,-4.950833320617676
-4.9736120823300904,-4.9508256912231445
-4.9736120823300904,-4.9508256912231445
-4.9736120823300904,-4.9508256912231445
-4.9736120823300904,-4.9508256912231445
-4.9736120823300904,-4.9508256912231445
-4.9736120823300904,-4.9508256912231445
-4.9736120823300904,-4.9508256912231445
